Number,Region,geoConcpet,Level,schemeID,begTimeValue (Ma),endTimeValue (Ma),Duration (Myr)
402,California,Venturian,Age,tsca2019,2.19,1.89,0.3
403,California,Repettian,Age,tsca2019,2.9,2.19,0.71
404,California,Delmontian,Age,tsca2019,7.51,2.9,4.61
405,California,Mohnian,Age,tsca2019,13.51,7.51,6
406,California,Luisian,Age,tsca2019,15.51,13.51,2
407,California,Relizian,Age,tsca2019,16.51,15.51,1
408,California,Saucesian,Age,tsca2019,21.99,16.51,5.48
409,California,Zemorrian,Age,tsca2019,33.49,21.99,11.5
410,California,Refugian,Age,tsca2019,35.25,33.49,1.76
411,California,Narizian,Age,tsca2019,47.36,35.25,12.11
412,California,Ulatisian,Age,tsca2019,50.6,47.36,3.24
413,California,Penutian,Age,tsca2019,52.87,50.6,2.27
414,California,Bulitian,Age,tsca2019,56.02,52.87,3.15
415,California,Ynezian,Age,tsca2019,62.07,56.02,6.05
416,Britain,Valanginian,Age,tsbr2019,139.27,137.27,2
417,Britain,Ryazanian,Age,tsbr2019,144.1,139.27,4.83
418,Britain,Portlandian,Age,tsbr2019,147.93,144.1,3.83
419,Britain,Kimmeridgian,Age,tsbr2019,157.25,147.93,9.32
420,Britain,Oxfordian,Age,tsbr2019,163.06,157.25,5.81
421,Boreal,Valanginian,Age,tsbo2019,139.27,137.27,2
422,Boreal,Ryazanian,Age,tsbo2019,144.1,139.27,4.83
423,Boreal,Volgian,Age,tsbo2019,152.06,144.1,7.96
424,Boreal,Kimmeridgian,Age,tsbo2019,157.25,152.06,5.19
425,Boreal,Oxfordian,Age,tsbo2019,163.06,157.25,5.81
426,Baltoscania,Harju,Epoch,tsba2019,462.52,443.83,18.69
427,Baltoscania,Oeland,Epoch,tsba2019,485.37,462.52,22.85
428,Baltoscania,Viru,Epoch,tsba2019,485.37,450.23,35.14
429,East Avalonian,Tremadoc,Epoch,tsav2019,485.37,478.6,6.77
430,East Avalonian,Merionethian,Epoch,tsav2019,498.4,485.37,13.03
431,East Avalonian,St.David's,Epoch,tsav2019,509,498.4,10.6
432,East Avalonian,Comley,Epoch,tsav2019,525.5,509,16.5
433,Baltoscania,Ohesaare,Age,tsba2019,422.13,419.2,2.93
434,Baltoscania,Kaugetuma,Age,tsba2019,422.96,422.13,0.83
435,Baltoscania,Kuressaare,Age,tsba2019,423.32,422.96,0.36
436,Baltoscania,Paadla,Age,tsba2019,427.36,423.32,4.04
437,Baltoscania,Rootsikula,Age,tsba2019,428.49,427.36,1.13
438,Baltoscania,Jaagarahu,Age,tsba2019,431.41,428.49,2.92
439,Baltoscania,Jaani,Age,tsba2019,433.46,431.41,2.05
440,Baltoscania,Adavere,Age,tsba2019,438.76,433.46,5.3
441,Baltoscania,Raikkula,Age,tsba2019,441.57,438.76,2.81
442,Baltoscania,Juuru,Age,tsba2019,443.83,441.57,2.26
443,Baltoscania,Porkuni,Age,tsba2019,445.16,443.83,1.33
444,Baltoscania,Pirgu,Age,tsba2019,448.38,445.16,3.22
445,Baltoscania,Vormsi,Age,tsba2019,449.3,448.38,0.92
446,Baltoscania,Nabala,Age,tsba2019,450.23,449.3,0.93
447,Baltoscania,Rakvere,Age,tsba2019,451.87,450.23,1.64
448,Baltoscania,Oandu,Age,tsba2019,452.97,451.87,1.1
449,Baltoscania,Keila,Age,tsba2019,453.99,452.97,1.02
450,Baltoscania,Haljala,Age,tsba2019,456.63,453.99,2.64
451,Baltoscania,Kukruse,Age,tsba2019,458.19,456.63,1.56
452,Baltoscania,Uhaku,Age,tsba2019,460.84,458.19,2.65
453,Baltoscania,Lasnamagi,Age,tsba2019,461.95,460.84,1.11
454,Baltoscania,Aseri,Age,tsba2019,462.52,461.95,0.57
455,Baltoscania,Kunda,Age,tsba2019,466.17,462.52,3.65
456,Baltoscania,Volkhov,Age,tsba2019,470.42,466.17,4.25
457,Baltoscania,Billingen,Age,tsba2019,475.46,470.42,5.04
458,Baltoscania,Hunneberg,Age,tsba2019,479.86,475.46,4.4
459,Baltoscania,Varangu,Age,tsba2019,481.61,479.86,1.75
460,Baltoscania,Pakerort,Age,tsba2019,485.37,481.61,3.76
461,Australia,Werrikooian,Age,tsau2019,1.8,0.99,0.81
462,Australia,Yatalan,Age,tsau2019,3.4,1.8,1.6
463,Australia,Kalimnan,Age,tsau2019,4.29,3.4,0.89
464,Australia,Cheltenhamian,Age,tsau2019,5,4.29,0.71
465,Australia,Mitchellian,Age,tsau2019,10.53,5,5.53
466,Australia,Bairnsdalian,Age,tsau2019,15,10.53,4.47
467,Australia,Balcombian,Age,tsau2019,15.51,15,0.51
468,Australia,Batesfordian,Age,tsau2019,16.51,15.51,1
469,Australia,Longfordian,Age,tsau2019,27.18,16.51,10.67
470,Australia,Janjukian,Age,tsau2019,29.77,27.18,2.59
471,Australia,Aldingan,Age,tsau2019,36.48,29.77,6.71
472,Australia,Johannian,Age,tsau2019,51.73,36.48,15.25
473,Australia,Wangerripian,Age,tsau2019,62.29,51.73,10.56
474,Australia,Melbournian,Age,tsau2019,433.35,419.2,14.15
475,Australia,Eildonian,Age,tsau2019,436.49,433.35,3.14
476,Australia,Keiloran,Age,tsau2019,443.83,436.49,7.34
477,Australia,Bolindian,Age,tsau2019,448.38,443.83,4.55
478,Australia,Eastonian,Age,tsau2019,452.97,448.38,4.59
479,Australia,Gisbornian,Age,tsau2019,458.36,452.97,5.39
480,Australia,Darriwilian,Age,tsau2019,467.25,458.36,8.89
481,Australia,Yapeenian,Age,tsau2019,468.31,467.25,1.06
482,Australia,Castlemainian,Age,tsau2019,470.42,468.31,2.11
483,Australia,Chewtonian,Age,tsau2019,472.41,470.42,1.99
484,Australia,Bendigonian,Age,tsau2019,475.97,472.41,3.56
485,Australia,Lancefieldian,Age,tsau2019,484.28,475.97,8.31
486,Australia,Warendan,Age,tsau2019,485.43,484.28,1.15
487,Australia,Datsonian,Age,tsau2019,486.73,485.43,1.3
488,Australia,Payntonian,Age,tsau2019,489.5,486.73,2.77
489,Australia,Iverian,Age,tsau2019,494,489.5,4.5
490,Australia,Idamean,Age,tsau2019,497,494,3
491,Australia,Mindyallan,Age,tsau2019,499.1,497,2.1
492,Australia,Boomerangian,Age,tsau2019,500.5,499.1,1.4
493,Australia,Undillan,Age,tsau2019,502.98,500.5,2.48
494,Australia,Floran,Age,tsau2019,504.5,502.98,1.52
495,Australia,Templetonian,Age,tsau2019,507.96,504.5,3.46
496,Australia,Ordian,Age,tsau2019,511.5,507.96,3.54
